Y,X
45.49422241264625,-75.65382591848234
45.49431165779283,-75.65374527574069
45.494473812174064,-75.65374134368687
45.49467804019303,-75.65377110755666
45.49484628566945,-75.65379969553824
45.49504629988655,-75.65382458832869
45.495200166338805,-75.65386682409633
45.49540700816853,-75.65384313394549
45.49558468870127,-75.65387310661754
45.495749694887294,-75.65387683409529
45.49129441996432,-75.70285845805768
45.49148831891049,-75.70290659732
45.49165645251153,-75.70296450214374
45.491835029743235,-75.70297434353438
45.49202772159039,-75.70300992777445
45.492163770685046,-75.70311684269811
45.49238433329407,-75.70314168738763
45.49255827589535,-75.7031582484023
45.492703388599146,-75.70320836046521
45.49289324226927,-75.70321639002547
45.49306651447915,-75.70327907850363
45.4932839837018,-75.70329035445297
